DateKey,Date,Month,Year,Quarter,FiscalYear,LastUpdated
20220101,2022-01-01,1,2022,1,2022,2025-01-19 04:33:14.738703
20220102,2022-01-02,1,2022,1,2022,2025-03-03 15:44:14.738793
20220103,2022-01-03,1,2022,1,2022,2025-02-21 23:06:14.738819
20220104,2022-01-04,1,2022,1,2022,2025-02-19 01:42:14.738837
20220105,2022-01-05,1,2022,1,2022,2025-03-23 12:15:14.738854
20220106,2022-01-06,1,2022,1,2022,2025-04-06 14:55:14.738870
20220107,2022-01-07,1,2022,1,2022,2025-03-18 12:36:14.738887
20220108,2022-01-08,1,2022,1,2022,2025-04-04 13:22:14.738903
20220109,2022-01-09,1,2022,1,2022,2025-02-26 08:24:14.738918
20220110,2022-01-10,1,2022,1,2022,2025-03-23 05:48:14.738934
20220111,2022-01-11,1,2022,1,2022,2025-02-23 00:00:14.738950
20220112,2022-01-12,1,2022,1,2022,2025-03-14 04:48:14.738966
20220113,2022-01-13,1,2022,1,2022,2025-03-19 05:02:14.738989
20220114,2022-01-14,1,2022,1,2022,2025-01-18 16:20:14.739017
20220115,2022-01-15,1,2022,1,2022,2025-02-28 20:59:14.739040
20220116,2022-01-16,1,2022,1,2022,2025-03-24 12:44:14.739057
20220117,2022-01-17,1,2022,1,2022,2025-03-29 22:12:14.739073
20220118,2022-01-18,1,2022,1,2022,2025-03-02 21:53:14.739089
20220119,2022-01-19,1,2022,1,2022,2025-02-24 04:58:14.739104
20220120,2022-01-20,1,2022,1,2022,2025-02-05 19:28:14.739120
20220121,2022-01-21,1,2022,1,2022,2025-03-14 16:32:14.739136
20220122,2022-01-22,1,2022,1,2022,2025-03-26 23:31:14.739151
20220123,2022-01-23,1,2022,1,2022,2025-01-29 22:36:14.739167
20220124,2022-01-24,1,2022,1,2022,2025-03-13 19:05:14.739183
20220125,2022-01-25,1,2022,1,2022,2025-03-05 08:09:14.739199
20220126,2022-01-26,1,2022,1,2022,2025-02-10 17:26:14.739215
20220127,2022-01-27,1,2022,1,2022,2025-01-23 18:29:14.739238
20220128,2022-01-28,1,2022,1,2022,2025-04-08 00:50:14.739262
20220129,2022-01-29,1,2022,1,2022,2025-04-12 02:58:14.739279
20220130,2022-01-30,1,2022,1,2022,2025-02-06 07:14:14.739294
20220131,2022-01-31,1,2022,1,2022,2025-03-07 22:22:14.739314
20220201,2022-02-01,2,2022,1,2022,2025-02-04 18:43:14.739337
20220202,2022-02-02,2,2022,1,2022,2025-01-28 01:25:14.739353
20220203,2022-02-03,2,2022,1,2022,2025-02-24 21:03:14.739369
20220204,2022-02-04,2,2022,1,2022,2025-02-07 17:31:14.739399
20220205,2022-02-05,2,2022,1,2022,2025-04-06 18:49:14.739417
20220206,2022-02-06,2,2022,1,2022,2025-03-22 00:08:14.739433
20220207,2022-02-07,2,2022,1,2022,2025-03-09 17:45:14.739453
20220208,2022-02-08,2,2022,1,2022,2025-02-04 09:14:14.739481
20220209,2022-02-09,2,2022,1,2022,2025-02-03 15:20:14.739507
20220210,2022-02-10,2,2022,1,2022,2025-01-30 11:16:14.739528
20220211,2022-02-11,2,2022,1,2022,2025-03-29 15:05:14.739544
20220212,2022-02-12,2,2022,1,2022,2025-01-23 07:15:14.739562
20220213,2022-02-13,2,2022,1,2022,2025-03-16 07:35:14.739587
20220214,2022-02-14,2,2022,1,2022,2025-01-21 08:36:14.739608
20220215,2022-02-15,2,2022,1,2022,2025-02-13 18:16:14.739626
20220216,2022-02-16,2,2022,1,2022,2025-01-19 09:59:14.739651
20220217,2022-02-17,2,2022,1,2022,2025-02-22 00:31:14.739674
20220218,2022-02-18,2,2022,1,2022,2025-01-30 03:49:14.739690
20220219,2022-02-19,2,2022,1,2022,2025-01-26 05:49:14.739706
20220220,2022-02-20,2,2022,1,2022,2025-01-27 04:05:14.739722
20220221,2022-02-21,2,2022,1,2022,2025-01-26 16:38:14.739738
20220222,2022-02-22,2,2022,1,2022,2025-03-13 14:47:14.739753
20220223,2022-02-23,2,2022,1,2022,2025-02-11 22:12:14.739769
20220224,2022-02-24,2,2022,1,2022,2025-02-10 15:01:14.739785
20220225,2022-02-25,2,2022,1,2022,2025-03-23 16:27:14.739803
20220226,2022-02-26,2,2022,1,2022,2025-01-28 00:16:14.739826
20220227,2022-02-27,2,2022,1,2022,2025-02-01 08:26:14.739842
20220228,2022-02-28,2,2022,1,2022,2025-03-06 03:07:14.739858
20220301,2022-03-01,3,2022,1,2022,2025-02-06 09:32:14.739873
20220302,2022-03-02,3,2022,1,2022,2025-03-31 02:08:14.739889
20220303,2022-03-03,3,2022,1,2022,2025-02-17 10:35:14.739905
20220304,2022-03-04,3,2022,1,2022,2025-03-11 11:25:14.739921
20220305,2022-03-05,3,2022,1,2022,2025-03-20 14:47:14.739937
20220306,2022-03-06,3,2022,1,2022,2025-01-23 20:14:14.739952
20220307,2022-03-07,3,2022,1,2022,2025-04-07 20:33:14.739968
20220308,2022-03-08,3,2022,1,2022,2025-02-16 06:13:14.739984
20220309,2022-03-09,3,2022,1,2022,2025-02-27 06:51:14.739999
20220310,2022-03-10,3,2022,1,2022,2025-04-04 08:26:14.740014
20220311,2022-03-11,3,2022,1,2022,2025-03-14 09:20:14.740030
20220312,2022-03-12,3,2022,1,2022,2025-02-14 17:36:14.740045
20220313,2022-03-13,3,2022,1,2022,2025-02-26 14:59:14.740064
20220314,2022-03-14,3,2022,1,2022,2025-02-26 23:41:14.740091
